field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F444W_SNR,FWHM_arcsec,A_arcsec,B_arcsec,compact_proxy,rank_in_bin,metric,bin_size,hunt_type
GOODS-S,556228,7.740000247955322,0.884557843208313,6-8,14.9404,4.39,0.1073,0.0486,0.0424,3.1132,1,smallest_fwhm,4157,compactness
GOODS-N,1197316,7.380000114440918,0.9281597137451172,6-8,54.2956,5.09,0.1129,0.0635,0.0238,3.6294,2,smallest_fwhm,4157,compactness
GOODS-S,543841,7.260000228881836,0.918144702911377,6-8,13.9415,3.65,0.1165,0.0561,0.0418,3.0117,3,smallest_fwhm,4157,compactness
GOODS-S,546585,7.710000038146973,0.9278653264045715,6-8,1.9123,3.69,0.1198,0.0570,0.0438,2.1246,4,smallest_fwhm,4157,compactness
GOODS-S,541113,7.220000267028809,0.9490013718605042,6-8,6.3767,3.09,0.1214,0.0568,0.0457,2.6362,5,smallest_fwhm,4157,compactness
GOODS-S,541199,7.409999847412109,0.9950933456420898,6-8,7.4571,4.31,0.1234,0.0547,0.0500,2.6899,6,smallest_fwhm,4157,compactness
GOODS-N,1245219,7.110000133514404,0.8360131978988647,6-8,50.6304,8.39,0.1246,0.0570,0.0484,3.5134,7,smallest_fwhm,4157,compactness
GOODS-S,327939,7.130000114440918,0.999441385269165,6-8,6.3659,3.76,0.1247,0.0590,0.0461,2.6121,8,smallest_fwhm,4157,compactness
GOODS-S,542743,7.480000019073486,0.9962489604949951,6-8,7.1051,4.20,0.1257,0.0564,0.0502,2.6529,9,smallest_fwhm,4157,compactness
GOODS-S,524378,7.480000019073486,0.9999998807907104,6-8,7.0418,4.20,0.1273,0.0556,0.0525,2.6380,10,smallest_fwhm,4157,compactness
GOODS-S,532373,6.630000114440918,0.9928895831108093,6-8,11.7214,3.53,0.1276,0.0565,0.0517,2.8573,11,smallest_fwhm,4157,compactness
GOODS-S,544339,7.5,0.862108588218689,6-8,1.7877,3.38,0.1282,0.0588,0.0498,2.0365,12,smallest_fwhm,4157,compactness
GOODS-S,128625,6.400000095367432,0.9999995827674866,6-8,4.6491,3.28,0.1291,0.0566,0.0530,2.4455,13,smallest_fwhm,4157,compactness
GOODS-S,533294,7.200000286102295,0.9984941482543945,6-8,2.8917,3.19,0.1302,0.0607,0.0492,2.2319,14,smallest_fwhm,4157,compactness
GOODS-S,533823,7.389999866485596,0.9945170879364014,6-8,4.1285,3.67,0.1305,0.0595,0.0511,2.3846,15,smallest_fwhm,4157,compactness
