field,ID,z_peak,Prob_gt_6,bin_z,num_hunts,hunt_types,in_brightness,in_redness,in_compactness,F444W_flux,F444W_SNR,bright_rank,red_1,red_2,red_rank,FWHM_arcsec,compact_proxy,compact_rank
GOODS-S,464514,11.489999771118164,1.0000001192092896,10-15,3,brightness+compactness+redness,1,1,1,223.0884,50.03,27,1.0422,0.6511,15,0.1686,3.8948,24
GOODS-S,153326,11.550000190734863,1.0,10-15,3,brightness+compactness+redness,1,1,1,224.4893,93.99,26,1.3408,0.4884,18,0.1736,3.8721,26
GOODS-S,416913,11.569999694824219,0.9994826912879944,10-15,3,brightness+compactness+redness,1,1,1,7121.1753,275.08,2,0.5876,0.7303,13,0.5138,4.4310,5
GOODS-S,428330,11.609999656677246,0.9972654581069946,10-15,3,brightness+compactness+redness,1,1,1,4877.4846,264.02,4,0.7348,1.0393,10,0.7050,3.9918,16
GOODS-S,431625,11.739999771118164,0.9994134902954102,10-15,3,brightness+compactness+redness,1,1,1,4262.3842,242.03,6,0.9715,1.1418,8,0.4701,4.2853,6
GOODS-N,1003262,11.869999885559082,0.9999998807907104,10-15,3,brightness+compactness+redness,1,1,1,184.7899,38.47,28,0.9990,0.2578,13,0.1761,3.7752,28
GOODS-N,1125125,11.880000114440918,1.0,10-15,3,brightness+compactness+redness,1,1,1,3833.6036,345.92,8,0.8429,0.9741,11,0.5541,4.0964,12
GOODS-N,1030374,11.899999618530273,1.0,10-15,3,brightness+compactness+redness,1,1,1,5991.1768,250.74,3,1.0419,1.1716,7,0.6377,4.1683,8
GOODS-N,1223231,11.920000076293945,1.0000001192092896,10-15,3,brightness+compactness+redness,1,1,1,440.4238,75.83,23,1.3956,0.4975,17,0.1894,4.0891,14
GOODS-N,1186342,11.970000267028809,0.9999998807907104,10-15,3,brightness+compactness+redness,1,1,1,2175.4129,237.20,12,1.1546,0.9275,12,0.4936,3.9508,19
GOODS-S,473785,12.029999732971191,1.0,10-15,3,brightness+compactness+redness,1,1,1,231.4523,47.60,25,0.7456,0.2624,23,0.1589,3.9622,17
GOODS-S,153323,12.069999694824219,0.9981983304023743,10-15,3,brightness+compactness+redness,1,1,1,2012.9166,207.88,13,1.0496,1.2147,5,0.4249,4.0473,15
GOODS-S,429397,12.15999984741211,0.9999841451644897,10-15,3,brightness+compactness+redness,1,1,1,1323.6220,150.08,18,0.7166,0.7246,14,0.4175,3.8805,25
GOODS-S,433690,12.519999504089355,0.9999998211860657,10-15,3,brightness+compactness+redness,1,1,1,2004.0649,855.72,14,0.5433,-0.0058,30,0.2147,4.6382,3
GOODS-N,1075168,12.519999504089355,1.0000001192092896,10-15,3,brightness+compactness+redness,1,1,1,734.0414,194.77,19,0.9298,1.0964,9,0.3227,3.8481,27
GOODS-N,1208716,12.619999885559082,0.9999454021453857,10-15,3,brightness+compactness+redness,1,1,1,1498.8212,180.76,15,0.9358,1.2421,4,0.4315,3.9058,23
GOODS-N,1027338,12.649999618530273,0.979831874370575,10-15,3,brightness+compactness+redness,1,1,1,3456.5792,149.45,9,1.0512,,9,0.6221,3.9509,18
GOODS-S,354660,12.670000076293945,0.9999977946281433,10-15,3,brightness+compactness+redness,1,1,1,2767.3778,377.68,11,1.0825,1.2992,3,0.4597,4.1171,11
