field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F200W_flux,F356W_flux,F150W_flux,red_1,red_2,A_arcsec,FWHM_arcsec,rank_in_bin,color_index,bin_size,hunt_type
GOODS-N,1001895,6.170000076293945,0.8683875203132629,6-8,231.0509,9.4642,110.4413,8.2206,1.3876,,0.0726,0.1675,1,red_1,3515,redness
GOODS-S,203749,7.639999866485596,1.0000001192092896,6-8,149.7626,6.2699,66.3467,4.5172,1.3781,1.1670,0.0739,0.1723,2,red_1,3515,redness
GOODS-N,1089808,6.5,0.9957369565963745,6-8,144.5836,6.1048,71.8147,8.0585,1.3744,0.9500,0.0676,0.1584,3,red_1,3515,redness
GOODS-N,1149542,6.639999866485596,1.0,6-8,855.6255,37.4455,408.1015,34.0973,1.3589,1.0780,0.0759,0.1776,4,red_1,3515,redness
GOODS-S,121710,7.909999847412109,1.0,6-8,255.8118,14.1674,123.8230,9.1002,1.2566,1.1338,0.0713,0.1666,5,red_1,3515,redness
GOODS-S,355255,6.220000267028809,0.9979878067970276,6-8,720.9798,40.2382,312.9658,22.9540,1.2533,1.1346,0.0822,0.1886,6,red_1,3515,redness
GOODS-S,236329,6.460000038146973,0.9954572916030884,6-8,463.8259,29.0848,504.8941,28.1911,1.2027,1.2531,0.0743,0.1743,7,red_1,3515,redness
GOODS-N,1017694,7.210000038146973,0.9959248304367065,6-8,295.1760,20.7367,135.5625,19.6754,1.1533,0.8382,0.0698,0.1634,8,red_1,3515,redness
GOODS-N,1220020,6.450000286102295,0.9976325631141663,6-8,717.8120,51.0533,308.4707,49.6563,1.1480,0.7932,0.0756,0.1740,9,red_1,3515,redness
GOODS-N,1204613,6.820000171661377,0.9989383816719055,6-8,195.6860,14.1180,87.3328,16.6695,1.1418,0.7193,0.0719,0.1677,10,red_1,3515,redness
GOODS-S,448527,6.059999942779541,0.807561993598938,6-8,189.4528,14.1760,81.1064,12.9329,1.1259,0.7974,0.0723,0.1656,11,red_1,3515,redness
GOODS-S,449647,7.929999828338623,0.9999999403953552,6-8,277.3230,20.9028,95.9063,18.9415,1.1228,0.7044,0.0791,0.1849,12,red_1,3515,redness
GOODS-N,1208938,7.849999904632568,0.9882490038871765,6-8,2319.0524,179.5949,1298.6703,nan,1.1110,,0.2577,0.5108,13,red_1,3515,redness
GOODS-S,90354,7.980000019073486,1.0000001192092896,6-8,57.9376,5.0398,18.2308,0.1599,1.0605,,0.0683,0.1599,14,red_1,3515,redness
GOODS-N,1013184,7.429999828338623,1.0,6-8,74.4177,6.6139,23.2495,20.0527,1.0512,0.0642,0.0716,0.1638,15,red_1,3515,redness
