field,ID,RA,DEC,z_peak,z_a,z_ml,Prob_gt_6,bin_z,F090W_flux,F090W_err,F115W_flux,F115W_err,F150W_flux,F150W_err,F200W_flux,F200W_err,F277W_flux,F277W_err,F356W_flux,F356W_err,F444W_flux,F444W_err,A_arcsec,B_arcsec,R_KRON_U,FWHM_arcsec,GINI,clean_phot_bands,size_usable,F444W_SNR,F356W_SNR
GOODS-S,795,53.114895,-27.920897,12.600000381469727,12.600000381469727,12.597655296325684,0.9851274490356445,10-15,-5.2412,3.1154,-2.3974,2.5700,0.5276,2.6730,0.3668,2.3814,4.6494,1.8118,3.3917,1.5940,11.8511,1.8261,0.0620,0.0603,1.4000,0.1440,0.4734,7,1,6.49,2.13
GOODS-S,1247,53.107742,-27.91706,6.420000076293945,6.420000076293945,6.413453578948975,0.9401260614395142,6-8,24.7013,6.9242,16.4196,5.9134,17.1438,5.7526,23.2204,4.9343,24.9395,3.4841,41.6632,3.5270,28.1522,4.0628,0.1244,0.0748,1.4000,0.2417,0.6069,7,1,6.93,11.81
GOODS-S,1259,53.103455,-27.917006,6.590000152587891,6.590000152587891,6.5893144607543945,0.9954290390014648,6-8,9.5200,9.8720,14.0511,7.0449,11.7889,6.3236,11.0905,5.8102,12.2585,3.7046,20.9924,2.6247,14.6331,3.1854,0.1036,0.0722,1.4000,0.2103,0.5241,7,1,4.59,8.00
GOODS-S,1653,53.071716,-27.914213,11.239999771118164,11.239999771118164,11.212139129638672,0.9999892115592957,10-15,-3.6787,2.4988,-2.8626,2.0411,3.0861,2.0753,10.7608,1.9311,9.2439,1.4307,14.4421,1.5259,17.4973,1.7824,0.0692,0.0612,1.4000,0.1539,0.5929,7,1,9.82,9.46
GOODS-S,1676,53.11906,-27.914047,6.409999847412109,6.409999847412109,6.402457237243652,0.931247353553772,6-8,5.1919,3.0250,6.9023,2.5554,6.3365,2.3318,5.8187,2.1283,5.6211,1.5294,9.4599,1.5524,9.9887,1.8895,0.0717,0.0657,1.4000,0.1619,0.4984,7,1,5.29,6.09
GOODS-S,1732,53.10092,-27.913633,6.440000057220459,6.440000057220459,6.438858985900879,0.9945565462112427,6-8,39.2790,10.3101,29.3623,7.6825,25.3496,7.2892,20.0921,5.7597,15.9224,3.1214,23.7566,2.1137,18.2821,2.5456,0.0842,0.0727,1.4000,0.1852,0.5403,7,1,7.18,11.24
GOODS-S,1849,53.066956,-27.913012,6.400000095367432,6.400000095367432,6.402716159820557,1.0000001192092896,6-8,5.7893,2.2533,10.7004,1.9198,6.9314,1.8197,3.8235,1.5053,6.9811,1.1156,10.9756,1.1348,7.5984,1.5609,0.0601,0.0572,1.4000,0.1382,0.5612,7,1,4.87,9.67
GOODS-S,2054,53.124416,-27.911854,9.180000305175781,9.180000305175781,9.179607391357422,0.9999551177024841,8-10,-3.2992,5.7197,-1.2049,4.3516,11.3304,4.0685,10.3311,3.4562,15.5798,2.1660,10.1566,2.3070,18.6202,2.4710,0.0979,0.0882,1.4000,0.2194,0.5076,7,1,7.54,4.40
GOODS-S,2055,53.03611,-27.911814,6.550000190734863,6.550000190734863,6.548437118530273,0.9989727139472961,6-8,-1.0992,2.7631,5.0165,2.4411,1.7976,2.4493,5.8696,1.9121,4.6466,1.4879,10.3343,1.5466,6.0589,1.8025,0.0716,0.0644,1.4000,0.1604,0.6181,7,1,3.36,6.68
GOODS-S,2079,53.066948,-27.911724,6.670000076293945,6.670000076293945,6.666976451873779,0.9985071420669556,6-8,5.9826,3.5073,10.1760,2.8800,18.1618,2.9086,11.1483,2.4463,13.1141,1.8331,17.1715,1.6999,14.3030,2.4079,0.0866,0.0622,1.4000,0.1775,0.5502,7,1,5.94,10.10
