field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-S,795,53.114895,-27.920897,12.600000381469727,12.600000381469727,12.597655296325684,-9999.0,0.9851274490356445,0.9846452474594116,0.9821353554725647,0.9665024876594543,4.3444318771362305,13,5,0,0,0,0
GOODS-S,1247,53.107742,-27.91706,6.420000076293945,6.420000076293945,6.413453578948975,-9999.0,0.9401260614395142,1.6560314681989224e-16,6.285488056183831e-17,3.5498334495560714e-19,11.115240097045898,13,5,0,0,0,0
GOODS-S,1259,53.103455,-27.917006,6.590000152587891,6.590000152587891,6.5893144607543945,-9999.0,0.9954290390014648,4.503421990875722e-08,2.791265352186656e-08,1.0587342558210366e-08,2.1561927795410156,13,5,0,0,0,0
GOODS-S,1653,53.071716,-27.914213,11.239999771118164,11.239999771118164,11.212139129638672,-9999.0,0.9999892115592957,0.9999892711639404,0.9999892711639404,0.9999873638153076,7.250967025756836,15,6,0,0,0,0
GOODS-S,1676,53.11906,-27.914047,6.409999847412109,6.409999847412109,6.402457237243652,-9999.0,0.931247353553772,2.6589112167130224e-05,4.426662201240106e-07,6.566006049979478e-08,3.831252336502075,14,6,0,0,0,0
GOODS-S,1732,53.10092,-27.913633,6.440000057220459,6.440000057220459,6.438858985900879,-9999.0,0.9945565462112427,3.884135537646216e-07,2.349503773757533e-07,1.0883530165983757e-07,14.194458961486816,13,5,0,0,0,0
GOODS-S,1849,53.066956,-27.913012,6.400000095367432,6.400000095367432,6.402716159820557,-9999.0,1.0000001192092896,3.5994067969224997e-12,2.635108711096512e-12,2.479798267771005e-12,18.42099380493164,15,6,0,0,0,0
GOODS-S,2054,53.124416,-27.911854,9.180000305175781,9.180000305175781,9.179607391357422,-9999.0,0.9999551177024841,0.9999551773071289,0.9999532103538513,0.8611211180686951,4.057669639587402,13,5,0,0,0,0
GOODS-S,2055,53.03611,-27.911814,6.550000190734863,6.550000190734863,6.548437118530273,-9999.0,0.9989727139472961,9.525394489173777e-06,9.36310152610531e-06,8.750706001592334e-06,17.277565002441406,20,9,0,0,0,0
GOODS-S,2079,53.066948,-27.911724,6.670000076293945,6.670000076293945,6.666976451873779,-9999.0,0.9985071420669556,0.0608670599758625,0.01322933193296194,0.00016487309767398983,4.266180038452148,15,6,0,0,0,0
GOODS-S,2097,53.074238,-27.9116,6.329999923706055,6.329999923706055,6.329610347747803,-9999.0,0.9999998807907104,4.208522036572298e-35,1.6046128585137048e-39,0.0,7.236850738525391,14,5,0,0,0,0
GOODS-S,2109,53.066437,-27.911608,6.639999866485596,6.639999866485596,6.636789321899414,-9999.0,0.9999339580535889,0.15099573135375977,0.001968052936717868,1.6197887475755124e-07,14.19238567352295,15,6,0,0,0,0
