overall_rank,top10,field,id,z,zbin,f444w,f444w_snr,fwhm_arcsec,fwhm_psf,red1,red2,compact_proxy,composite
1,Y,GOODS-N,1030374,11.9000,z=10-12,5991.1768,250.7400,0.6377,4.3979,1.0419,1.1716,4.1683,0.8312
2,Y,GOODS-S,428330,11.6100,z=10-12,4877.4846,264.0200,0.7050,4.8621,0.7348,1.0393,3.9918,0.8160
3,Y,GOODS-S,402176,12.7100,z>12,4776.0972,1828.7900,0.3904,2.6924,1.1877,1.3308,4.4961,0.8069
4,Y,GOODS-S,219426,8.3000,z=8-10,6136.7470,960.5800,0.6085,4.1966,0.8047,1.0035,4.2194,0.8069
5,Y,GOODS-N,1203011,8.2400,z=8-10,5933.8357,325.4600,0.6951,4.7938,0.7741,0.8341,4.0892,0.7975
6,Y,GOODS-N,1027338,12.6500,z>12,3456.5792,149.4500,0.6221,4.2903,1.0512,,3.9509,0.7893
7,Y,GOODS-S,431625,11.7400,z=10-12,4262.3842,242.0300,0.4701,3.2421,0.9715,1.1418,4.2853,0.7883
8,Y,GOODS-S,354660,12.6700,z>12,2767.3778,377.6800,0.4597,3.1703,1.0825,1.2992,4.1171,0.7873
9,Y,GOODS-N,1125125,11.8800,z=10-12,3833.6036,345.9200,0.5541,3.8214,0.8429,0.9741,4.0964,0.7742
10,Y,GOODS-S,416913,11.5700,z=10-12,7121.1753,275.0800,0.5138,3.5434,0.5876,0.7303,4.4310,0.7656
11,N,GOODS-N,1186342,11.9700,z=10-12,2175.4129,237.2000,0.4936,3.4041,1.1546,0.9275,3.9508,0.7631
12,N,GOODS-S,417844,8.4600,z=8-10,2277.4353,475.8600,0.4765,3.2862,0.9334,1.0811,4.0013,0.7536
13,N,GOODS-N,1210090,8.2000,z=8-10,2131.5553,238.9100,0.3413,2.3538,1.2146,,4.2624,0.7510
14,N,GOODS-N,1208716,12.6200,z>12,1498.8212,180.7600,0.4315,2.9759,0.9358,1.2421,3.9058,0.7493
15,N,GOODS-S,423232,8.0700,z=8-10,4938.8967,274.2900,0.4508,3.1090,0.6544,0.6791,4.3857,0.7344
16,N,GOODS-S,171973,8.4700,z=8-10,2490.7830,929.4200,0.3186,2.1972,1.0233,0.9592,4.3898,0.7317
17,N,GOODS-N,1207106,8.2700,z=8-10,3716.2711,318.6500,0.3074,2.1200,0.8196,0.8470,4.5947,0.7264
18,N,GOODS-S,284527,8.9700,z=8-10,2239.5680,331.1600,0.3481,2.4007,0.9242,0.9462,4.2668,0.7204
19,N,GOODS-N,1206691,12.7000,z>12,636.3360,60.4500,0.2808,1.9366,1.3755,,3.9069,0.7115
20,N,GOODS-N,1204188,12.6800,z>12,1344.2142,102.2800,0.4869,3.3579,0.8082,,3.7536,0.6974
21,N,GOODS-N,1223231,11.9200,z=10-12,440.4238,75.8300,0.1894,1.3062,1.3956,0.4975,4.0891,0.6924
22,N,GOODS-N,1075168,12.5200,z>12,734.0414,194.7700,0.3227,2.2255,0.9298,1.0964,3.8481,0.6868
23,N,GOODS-S,429397,12.1600,z>12,1323.6220,150.0800,0.4175,2.8793,0.7166,0.7246,3.8805,0.6773
24,N,GOODS-N,1087167,8.1500,z=8-10,840.4077,126.5000,0.1935,1.3345,0.9561,0.6951,4.3511,0.6664
25,N,GOODS-S,153326,11.5500,z=10-12,224.4893,93.9900,0.1736,1.1972,1.3408,0.4884,3.8721,0.6554
26,N,GOODS-S,462916,8.2000,z=8-10,219.5008,69.5000,0.1713,1.1814,1.1850,,3.8739,0.6349
27,N,GOODS-N,1091505,9.3500,z=8-10,259.9492,150.1100,0.1639,1.1303,1.0571,0.7553,3.9857,0.6264
28,N,GOODS-S,464514,11.4900,z=10-12,223.0884,50.0300,0.1686,1.1628,1.0422,0.6511,3.8948,0.6177
29,N,GOODS-N,1003262,11.8700,z=10-12,184.7899,38.4700,0.1761,1.2145,0.9990,0.2578,3.7752,0.6040
30,N,GOODS-N,1221701,8.7400,z=8-10,303.2056,58.9200,0.1683,1.1607,0.7337,0.4662,4.0296,0.5928
31,N,GOODS-S,473785,12.0300,z>12,231.4523,47.6000,0.1589,1.0959,0.7456,0.2624,3.9622,0.5823
32,N,GOODS-S,461166,8.7700,z=8-10,372.1938,76.1100,0.1730,1.1931,0.5759,0.1233,4.0947,0.5822
